x,y
71.3554,85.8571
71.1151,86.0286
70.9937,86.1155
70.8705,86.2038
70.7545,86.2872
70.6332,86.3742
70.3873,86.5504
70.2647,86.638
70.1398,86.7266
70.0154,86.8149
69.9022,86.8947
69.7844,86.9771
69.519,87.1609
69.39,87.2487
69.2623,87.3348
69.1416,87.415
69.023,87.4929
68.7503,87.6697
68.6156,87.7559
68.4871,87.8376
68.3596,87.9184
68.2389,87.9944
67.9514,88.1754
67.8225,88.2568
67.6931,88.3385
67.5673,88.4183
67.4442,88.4963
67.1675,88.6725
67.033,88.7583
66.9093,88.8376
66.7777,88.9219
66.6536,89.0013
66.3686,89.1828
66.2294,89.2708
66.0972,89.3537
65.9691,89.4337
65.8382,89.5147
65.5567,89.6867
65.4194,89.769
65.2836,89.8493
65.1563,89.9234
65.0286,89.9967
64.728,90.1666
64.5863,90.2454
64.4457,90.323
64.313,90.3959
64.1834,90.4666
63.8765,90.6342
63.7279,90.7156
63.5902,90.7912
63.447,90.8698
63.3206,90.9393
63.0155,91.1075
62.8671,91.1892
62.7118,91.2747
62.5704,91.3527
62.4371,91.4261
62.1188,91.6016
61.9626,91.6881
61.8111,91.7714
61.6685,91.8499
61.533,91.9243
61.2062,92.1039
61.0523,92.1885
60.9047,92.2697
60.76,92.3492
60.6165,92.428
60.2929,92.6059
60.1343,92.6932
59.9842,92.7758
59.8417,92.8542
59.6992,92.9327
59.3719,93.1127
59.2152,93.199
59.0541,93.2875
58.9078,93.368
58.7619,93.4483
58.4319,93.6297
58.2619,93.7232
58.0949,93.815
57.9351,93.9029
57.6188,94.0768
57.4543,94.1672
57.2876,94.259
57.1256,94.3481
56.962,94.438
56.806,94.5238
56.4701,94.7088
56.2921,94.8066
56.1183,94.9023
55.9775,94.9799
55.8254,95.0635
55.482,95.2525
55.3123,95.3458
55.1396,95.4407
54.9788,95.5294
54.8247,95.6139
54.4842,95.8013
54.3085,95.898
54.156,95.9818
54.0022,96.0665
53.6714,96.2483
53.5117,96.3361
53.347,96.4266
53.1905,96.5125
53.0313,96.6002
52.8669,96.6906
52.5347,96.8733
52.3744,96.9614
52.2155,97.0489
52.0531,97.1381
51.9049,97.2197
51.5599,97.4093
51.3918,97.5017
51.2277,97.5918
51.0726,97.6772
50.914,97.7643
50.5695,97.9537
50.3969,98.0485
50.2366,98.1367
50.0648,98.2313
49.9056,98.3189
49.5621,98.5078
49.3867,98.6042
49.2183,98.6967
49.0559,98.7861
48.8999,98.8719
48.5486,99.0651
48.3749,99.1606
48.2081,99.2524
48.046,99.3418
47.8809,99.4325
47.5305,99.6252
47.3663,99.7156
47.2004,99.8069
47.0384,99.8962
46.8818,99.9823
46.5366,100.172
46.3666,100.266
46.2039,100.355
46.0457,100.442
45.8919,100.527
45.5447,100.718
45.3723,100.813
45.2059,100.905
45.0494,100.991
44.897,101.075
44.5563,101.263
44.3854,101.357
44.2252,101.445
44.072,101.529
43.9178,101.614
43.579,101.801
43.4129,101.893
43.2416,101.987
43.0922,102.069
42.9486,102.148
42.6095,102.335
42.4439,102.426
42.2866,102.513
42.1372,102.595
41.9873,102.678
41.6497,102.864
41.4871,102.953
41.329,103.04
41.1807,103.122
41.036,103.202
40.7008,103.386
40.5435,103.473
40.3876,103.559
40.2334,103.644
40.0922,103.722
39.7626,103.903
39.6029,103.991
39.447,104.077
39.2991,104.159
39.156,104.237
38.8244,104.42
38.6635,104.509
38.506,104.595
38.3543,104.679
38.2105,104.757
37.8827,104.937
37.7117,105.03
37.5535,105.117
37.3893,105.207
37.2429,105.288
36.8975,105.479
36.7298,105.571
36.5658,105.661
36.4077,105.749
36.2518,105.834
35.9033,106.027
35.7255,106.124
35.5555,106.218
35.3973,106.305
35.2407,106.391
34.8832,106.587
34.7076,106.683
34.5363,106.778
34.3702,106.869
34.2075,106.958
33.8393,107.16
33.6589,107.26
33.4799,107.358
33.3097,107.452
32.9443,107.653
32.7679,107.75
32.5832,107.852
32.4097,107.947
32.2309,108.045
31.8657,108.246
31.6862,108.344
31.5023,108.444
31.3238,108.542
31.1486,108.639
30.7804,108.84
30.6029,108.937
30.4114,109.041
30.2353,109.138
30.0537,109.237
29.8814,109.331
29.4856,109.547
29.2968,109.651
29.1009,109.758
28.9272,109.854
28.7517,109.95
28.3567,110.168
28.1644,110.274
27.981,110.376
27.8024,110.474
27.4198,110.684
27.2339,110.786
27.0414,110.891
26.8543,110.993
26.6725,111.092
26.4872,111.193
26.1022,111.404
25.9164,111.505
25.7257,111.61
25.5525,111.705
25.3752,111.802
24.9891,112.013
24.7997,112.117
24.6177,112.216
24.4304,112.319
24.2462,112.419
23.8725,112.622
23.6828,112.726
23.4975,112.826
23.3226,112.922
22.943,113.13
22.7589,113.232
22.5742,113.335
22.3938,113.437
22.2201,113.536
22.047,113.637
21.6736,113.857
21.4894,113.968
21.3115,114.075
21.1409,114.178
20.9698,114.282
20.6019,114.505
20.4232,114.612
20.2415,114.722
20.0753,114.822
19.908,114.923
19.5437,115.141
19.3455,115.26
19.241,115.323
19.0699,115.426
18.8464,115.561
18.4865,115.78
18.3059,115.891
18.1355,115.997
17.9637,116.105
17.7957,116.211
17.4443,116.437
17.2715,116.551
17.0922,116.67
16.937,116.775
16.7802,116.883
16.4372,117.125
16.273,117.244
16.1128,117.361
15.9588,117.474
15.8075,117.588
15.4845,117.839
15.3264,117.966
15.1654,118.098
15.025,118.216
14.8862,118.336
14.5752,118.614
14.4299,118.75
14.2899,118.884
14.1612,119.012
14.0326,119.142
13.7551,119.435
13.6221,119.582
13.4972,119.723
13.3787,119.862
13.2608,120.003
13.0072,120.322
12.8918,120.473
12.7809,120.621
12.6765,120.766
12.577,120.908
12.3575,121.24
12.2592,121.396
12.1578,121.564
12.0683,121.717
11.9885,121.858
11.8099,122.193
11.7279,122.357
11.6487,122.524
11.5798,122.676
11.5076,122.844
11.3722,123.18
11.3097,123.347
11.2495,123.516
11.1988,123.666
11.1478,123.826
11.0465,124.169
11.0014,124.337
10.9608,124.497
10.924,124.654
10.8895,124.812
10.8228,125.157
10.7943,125.326
10.7694,125.489
10.7485,125.642
10.7303,125.794
10.6964,126.128
10.6839,126.289
10.6741,126.448
10.6673,126.596
10.6629,126.745
10.6606,127.058
10.6631,127.219
10.6681,127.376
10.6748,127.519
10.6837,127.662
10.7097,127.969
10.726,128.118
10.7438,128.265
10.7622,128.399
10.7826,128.534
10.8352,128.837
10.864,128.983
10.892,129.113
10.9213,129.237
10.9536,129.365
11.03,129.642
11.0699,129.773
11.1112,129.902
11.1503,130.021
11.1936,130.145
11.2896,130.401
11.3409,130.527
11.3916,130.646
11.4392,130.752
11.4911,130.862
11.6133,131.104
11.6742,131.218
11.7323,131.323
11.796,131.431
11.8604,131.535
12.0104,131.762
12.0813,131.863
12.1611,131.973
12.2349,132.072
12.309,132.168
12.4751,132.375
12.5577,132.474
12.6416,132.572
12.7202,132.662
12.8,132.75
12.9846,132.947
13.0727,133.039
13.1638,133.132
13.2503,133.22
13.3355,133.305
13.5252,133.491
13.6225,133.586
13.7139,133.674
13.8008,133.758
13.886,133.84
14.077,134.025
14.1683,134.113
14.2569,134.2
14.3436,134.285
14.4308,134.37
14.6178,134.555
14.7088,134.645
14.7942,134.73
14.8789,134.814
14.9642,134.9
15.1473,135.087
15.2335,135.176
15.3207,135.266
15.4008,135.35
15.4827,135.436
15.6565,135.622
15.742,135.714
15.8194,135.798
15.9002,135.888
15.9784,135.975
16.1456,136.168
16.228,136.266
16.3014,136.356
16.3732,136.445
16.4454,136.537
16.5994,136.737
16.6758,136.838
16.7457,136.932
16.8135,137.025
16.88,137.117
17.025,137.321
17.0961,137.422
17.1655,137.522
17.2304,137.616
17.2949,137.71
17.4376,137.92
17.504,138.019
17.5705,138.119
17.6334,138.213
17.6997,138.312
17.8391,138.519
17.91,138.624
17.9789,138.726
18.0441,138.822
18.111,138.921
18.2574,139.138
18.3293,139.244
18.3993,139.348
18.4704,139.453
18.5354,139.549
18.6833,139.77
18.7559,139.878
18.8293,139.988
18.8964,140.088
18.9669,140.193
19.1188,140.42
19.1948,140.533
19.2684,140.643
19.3393,140.749
19.4123,140.859
19.5644,141.088
19.6432,141.206
19.7213,141.324
19.7912,141.429
19.8643,141.54
20.0259,141.784
20.1055,141.904
20.1795,142.015
20.2537,142.127
20.3295,142.241
20.4918,142.487
20.5756,142.614
20.6553,142.736
20.7339,142.855
20.8085,142.967
20.9799,143.223
21.0603,143.343
21.142,143.466
21.2214,143.585
21.3023,143.706
21.4775,143.969
21.5623,144.096
21.6467,144.223
21.728,144.346
21.8107,144.47
21.988,144.737
22.0755,144.869
22.169,145.011
22.247,145.129
22.3279,145.251
22.5097,145.529
22.6005,145.667
22.689,145.8
22.774,145.929
22.8574,146.055
23.0465,146.34
23.138,146.478
23.2289,146.615
23.3162,146.746
23.4044,146.879
23.5972,147.169
23.69,147.309
23.7881,147.457
23.8796,147.595
23.9672,147.727
24.169,148.032
24.2659,148.177
24.3655,148.327
24.4564,148.464
24.5505,148.605
24.7602,148.919
24.8621,149.071
24.9623,149.222
25.0584,149.366
25.158,149.515
25.3703,149.833
25.4768,149.993
25.5838,150.154
25.6804,150.299
25.7787,150.447
25.9906,150.766
26.1042,150.936
